rssi0,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,rssi9,rssi10,rssi11,x,y,label
-73.0,-77.0,-88.0,-97.0,-91.0,-84.0,-86.0,-82.0,-97.0,-92.0,-96.0,-98.0,0,0,K-01
-83.8,-82.4,-91.0,-89.2,-85.6,-84.0,-89.0,-80.8,-99.4,-94.4,-97.2,-99.8,0,0,K-01
-78.38461538461539,-79.07692307692308,-87.92307692307692,-86.61538461538461,-82.76923076923077,-83.38461538461539,-87.15384615384616,-81.53846153846153,-99.15384615384616,-96.0,-95.84615384615385,-95.0,0,0,K-01
-75.05882352941177,-83.3529411764706,-84.26470588235294,-86.23529411764706,-81.67647058823529,-84.38235294117648,-86.44117647058823,-81.82352941176471,-96.58823529411765,-91.67647058823529,-97.1764705882353,-95.61764705882354,0,0,K-01
-72.5505617977528,-79.42696629213484,-84.10112359550561,-91.03370786516854,-83.73033707865169,-83.52808988764045,-94.20224719101124,-82.5505617977528,-98.07865168539325,-91.25842696629213,-98.92134831460675,-97.70786516853933,0,0,K-01
-72.8283261802575,-78.54506437768241,-82.18454935622317,-87.30472103004291,-81.42489270386267,-83.20171673819742,-90.98712446351931,-81.5922746781116,-96.79399141630901,-89.24463519313305,-98.3519313304721,-97.27038626609442,0,0,K-01
-74.17049180327868,-77.59016393442623,-87.01475409836065,-90.20655737704918,-84.25245901639344,-82.45901639344262,-89.75901639344262,-83.08032786885246,-98.15737704918033,-91.56557377049181,-97.51639344262296,-98.33934426229509,0,0,K-01
-85.18973074514714,-77.8434564809017,-91.33187226048841,-92.55103318722605,-81.00626174076393,-82.79336255479024,-94.85222291797119,-81.79461490294302,-94.96994364433313,-88.74389480275516,-97.19724483406387,-95.03944896681277,0,0,K-01
-89.39870844295623,-77.94020569241809,-92.98086582157379,-87.88423822052141,-81.00239177230327,-82.92107151399188,-96.79765606314278,-81.30351590528582,-93.13441760344415,-87.66610858646257,-97.07534082755322,-93.77900023917722,0,0,K-01
-79.88178329983556,-77.35912662159693,-87.43038552896036,-93.51808879956148,-81.00091357573542,-83.58788598574822,-91.36040562762653,-82.3520007308606,-93.66937694134843,-87.25443084231682,-98.26484560570071,-93.9155856020464,0,0,K-01
-76.86467529748404,-76.51914017517535,-89.0184946086471,-95.6700282653453,-87.18068883693338,-81.98848448895558,-90.51962871200755,-82.75248630352095,-96.96388316990613,-86.47914994591198,-97.48312803154552,-97.05792651010225,0,0,K-01
-75.0942085971343,-82.37863378873709,-92.7152682439187,-88.45755414861713,-83.36081306231256,-83.23166944351883,-90.19848050649783,-89.70383205598134,-96.98620459846718,-94.21746084638454,-99.65667444185272,-91.45982005998,0,0,K-01
-73.79991650459735,-78.436421305583,-90.41910619189687,-94.97314400920486,-89.31815821360567,-83.08848985327211,-90.69384679611848,-85.56063599059149,-96.99473062550275,-94.0830626520991,-97.39672535103708,-96.7379415328534,0,0,K-01
-85.04818670281139,-83.11097001530447,-91.39615229790618,-88.80940203683573,-84.17725371381232,-83.6518341050388,-87.7928899381404,-82.74200793809761,-95.76191930054509,-92.79565913240988,-97.7695695886463,-99.37203852758206,0,0,K-01
-77.6019978176724,-79.33418284161635,-86.82507879183134,-86.45506210125912,-81.5955689390456,-83.24897847309862,-88.53892498453132,-81.6653878236816,-95.90906126487351,-89.83177879012293,-97.91198341490446,-96.66997011741338,0,0,K-01
-74.75780675019818,-77.27354452079086,-86.93318604383276,-92.9721921319375,-89.87996293456976,-81.85903333675691,-88.82388501545434,-82.49022351044579,-97.20133247157533,-88.69967723795587,-96.73031267856747,-97.4919737909049,0,0,K-01
-75.52552439917139,-77.10448470950581,-86.35644535091707,-96.69758227205413,-91.19021789841523,-80.71008754842202,-94.49503596058072,-83.42331669640578,-98.31297013860254,-88.2672529237445,-96.89698860954769,-99.04201923280121,0,0,K-01
-75.818766447316,-76.42187561897667,-94.17059186266707,-94.41235075172563,-91.07265677192605,-81.50729728600892,-95.42515488878817,-83.16169259002169,-97.50150996673251,-92.42831945452687,-95.72458517257581,-97.77998194124908,0,0,K-01
