rssi0,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,rssi9,rssi10,rssi11,x,y,label
-85,-85,-84,-87,-88,-81,-86,-76,-92,-95,-95,-100,0,0,K-01
-74,-78,-81,-85,-81,-83,-89,-82,-94,-88,-98,-93,0,0,K-01
-72,-90,-83,-95,-83,-87,-89,-80,-94,-89,-91,-98,0,0,K-01
-78,-86,-80,-91,-86,-84,-98,-83,-97,-86,-90,-97,0,0,K-01
-82,-77,-88,-81,-81,-87,-90,-80,-89,-84,-88,-97,0,0,K-01
-77,-78,-85,-97,-83,-81,-90,-84,-98,-88,-96,-100,0,0,K-01
-84,-80,-75,-83,-86,-89,-89,-77,-87,-87,-95,-97,0,0,K-01
-73,-77,-83,-92,-90,-88,-90,-80,-94,-83,-93,-98,0,0,K-01
-74,-85,-75,-79,-87,-87,-83,-77,-87,-87,-100,-97,0,0,K-01
-71,-77,-91,-98,-91,-83,-87,-85,-97,-93,-97,-99,0,0,K-01
-97,-79,-74,-88,-86,-83,-84,-94,-93,-86,-92,-97,0,0,K-01
-78,-85,-83,-94,-90,-85,-89,-77,-89,-89,-93,-100,0,0,K-01
-71,-90,-83,-85,-83,-89,-90,-79,-93,-84,-93,-98,0,0,K-01
-76,-76,-73,-86,-89,-82,-84,-90,-89,-81,-95,-100,0,0,K-01
-73,-87,-94,-87,-89,-86,-90,-78,-94,-84,-91,-98,0,0,K-01
-74,-83,-75,-80,-84,-90,-88,-90,-87,-88,-96,-97,0,0,K-01
-76,-76,-73,-86,-89,-82,-84,-90,-89,-85,-95,-100,0,0,K-01
-74,-84,-75,-79,-87,-87,-83,-77,-87,-87,-100,-97,0,0,K-01
-74,-77,-83,-94,-85,-87,-90,-79,-97,-84,-92,-98,0,0,K-01
-76,-79,-82,-92,-83,-88,-90,-86,-92,-89,-93,-99,0,0,K-01
-76,-75,-94,-91,-83,-85,-90,-88,-95,-83,-91,-97,0,0,K-01
-74,-83,-74,-83,-88,-86,-83,-77,-87,-89,-96,-97,0,0,K-01
-72,-77,-82,-85,-81,-83,-87,-82,-95,-87,-96,-94,0,0,K-01
-80,-85,-71,-81,-92,-88,-86,-81,-87,-92,-95,-100,0,0,K-01
-75,-77,-74,-82,-81,-91,-88,-82,-89,-80,-94,-97,0,0,K-01
-95,-79,-73,-86,-89,-81,-89,-94,-94,-81,-94,-98,0,0,K-01
-71,-77,-84,-93,-83,-86,-90,-84,-99,-90,-96,-97,0,0,K-01
-78,-83,-82,-84,-95,-84,-100,-97,-92,-86,-96,-98,0,0,K-01
-87,-82,-86,-91,-88,-79,-90,-76,-91,-93,-93,-100,0,0,K-01
-71,-77,-83,-93,-86,-82,-97,-86,-95,-92,-96,-98,0,0,K-01
-76,-77,-89,-91,-92,-81,-86,-84,-99,-94,-96,-99,0,0,K-01
-80,-82,-81,-85,-84,-88,-82,-86,-92,-90,-92,-97,0,0,K-01
-85,-82,-81,-86,-92,-84,-95,-84,-95,-85,-92,-96,0,0,K-01
-71,-75,-99,-86,-90,-88,-90,-80,-97,-88,-90,-99,0,0,K-01
-73,-80,-82,-92,-88,-87,-90,-81,-93,-87,-89,-98,0,0,K-01
-74,-77,-81,-84,-81,-83,-85,-82,-96,-89,-100,-92,0,0,K-01
-75,-85,-82,-81,-86,-82,-95,-84,-94,-87,-91,-99,0,0,K-01
-74,-77,-82,-84,-82,-84,-90,-79,-95,-89,-100,-98,0,0,K-01
-72,-87,-85,-92,-89,-88,-90,-79,-94,-83,-90,-99,0,0,K-01
-74,-86,-83,-98,-81,-84,-85,-82,-99,-100,-98,-97,0,0,K-01
-75,-84,-80,-92,-85,-87,-99,-82,-100,-85,-91,-98,0,0,K-01
-83,-77,-89,-79,-84,-82,-89,-78,-98,-85,-89,-99,0,0,K-01
-76,-77,-82,-91,-85,-87,-89,-79,-91,-83,-91,-99,0,0,K-01
-85,-82,-84,-94,-87,-80,-87,-80,-92,-96,-97,-100,0,0,K-01
-75,-91,-80,-86,-82,-85,-87,-81,-92,-90,-100,-95,0,0,K-01
-73,-87,-84,-85,-81,-85,-86,-82,-97,-96,-97,-100,0,0,K-01
-73,-86,-83,-88,-81,-83,-90,-80,-94,-99,-99,-100,0,0,K-01
-76,-79,-74,-86,-88,-84,-85,-79,-88,-81,-93,-99,0,0,K-01
-80,-79,-73,-84,-92,-86,-86,-84,-100,-84,-94,-100,0,0,K-01
-76,-84,-74,-79,-88,-91,-83,-76,-87,-85,-98,-97,0,0,K-01
-74,-78,-84,-92,-86,-86,-93,-84,-97,-88,-96,-100,0,0,K-01
-71,-85,-81,-85,-78,-83,-85,-82,-100,-90,-97,-96,0,0,K-01
-72,-78,-83,-93,-91,-88,-90,-80,-92,-89,-93,-97,0,0,K-01
-80,-78,-73,-83,-91,-85,-86,-87,-92,-93,-95,-100,0,0,K-01
-75,-86,-79,-82,-84,-86,-96,-85,-97,-85,-93,-98,0,0,K-01
-70,-75,-93,-87,-83,-86,-96,-79,-95,-84,-91,-98,0,0,K-01
-77,-77,-73,-79,-83,-84,-84,-82,-91,-81,-92,-100,0,0,K-01
-80,-81,-71,-80,-80,-90,-87,-90,-87,-87,-96,-97,0,0,K-01
-76,-76,-88,-96,-91,-86,-91,-83,-97,-93,-97,-100,0,0,K-01
-75,-76,-90,-97,-91,-81,-90,-83,-99,-86,-97,-99,0,0,K-01
-84,-85,-83,-93,-88,-94,-87,-77,-93,-91,-95,-100,0,0,K-01
-78,-85,-70,-79,-92,-87,-86,-82,-91,-91,-95,-96,0,0,K-01
-83,-83,-74,-84,-83,-89,-89,-79,-87,-92,-96,-97,0,0,K-01
-78,-87,-76,-88,-90,-85,-88,-78,-92,-86,-92,-100,0,0,K-01
-76,-83,-84,-87,-86,-95,-97,-84,-92,-85,-96,-98,0,0,K-01
-84,-80,-71,-83,-85,-89,-89,-77,-87,-87,-95,-97,0,0,K-01
-76,-85,-80,-91,-86,-94,-99,-96,-94,-86,-93,-99,0,0,K-01
-82,-85,-82,-85,-86,-84,-98,-95,-95,-86,-94,-97,0,0,K-01
-73,-79,-84,-92,-92,-88,-90,-79,-94,-84,-92,-97,0,0,K-01
-78,-88,-76,-88,-86,-85,-95,-80,-91,-89,-94,-97,0,0,K-01
-78,-82,-82,-84,-86,-82,-96,-84,-96,-85,-93,-98,0,0,K-01
-79,-83,-71,-87,-86,-89,-88,-78,-86,-88,-95,-100,0,0,K-01
-73,-77,-89,-99,-85,-79,-97,-84,-95,-87,-96,-98,0,0,K-01
-73,-89,-84,-87,-90,-84,-90,-80,-96,-83,-93,-99,0,0,K-01
-79,-84,-71,-85,-84,-90,-83,-88,-87,-89,-95,-97,0,0,K-01
-78,-85,-83,-87,-90,-85,-88,-78,-92,-95,-92,-100,0,0,K-01
-75,-85,-80,-91,-86,-96,-97,-82,-96,-85,-97,-100,0,0,K-01
-79,-83,-71,-87,-84,-90,-88,-78,-86,-87,-95,-100,0,0,K-01
-83,-79,-73,-86,-87,-91,-84,-82,-89,-82,-96,-98,0,0,K-01
-71,-75,-84,-93,-83,-86,-99,-86,-93,-89,-91,-98,0,0,K-01
-71,-76,-84,-87,-83,-85,-90,-86,-93,-88,-91,-99,0,0,K-01
-71,-77,-84,-96,-83,-86,-90,-87,-97,-95,-99,-100,0,0,K-01
-77,-75,-93,-90,-83,-86,-96,-87,-95,-83,-92,-98,0,0,K-01
-85,-84,-84,-94,-88,-92,-90,-76,-91,-88,-91,-100,0,0,K-01
-86,-83,-81,-86,-91,-86,-97,-83,-99,-85,-92,-100,0,0,K-01
-77,-79,-81,-93,-87,-87,-89,-86,-91,-88,-90,-100,0,0,K-01
-82,-77,-74,-80,-84,-83,-88,-79,-89,-81,-95,-95,0,0,K-01
-73,-77,-86,-84,-81,-83,-85,-84,-98,-100,-98,-93,0,0,K-01
-71,-76,-81,-97,-84,-86,-96,-87,-90,-89,-93,-98,0,0,K-01
-92,-79,-73,-86,-87,-83,-85,-81,-94,-99,-96,-97,0,0,K-01
