rssi0,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,rssi9,rssi10,rssi11,x,y,label
-76,-75,-84,-95,-86,-89,-90,-79,-93,-84,-89,-100,0,0,K-01
-76,-83,-80,-88,-85,-95,-97,-87,-95,-85,-99,-100,0,0,K-01
-86,-85,-83,-87,-88,-84,-97,-78,-90,-85,-93,-100,0,0,K-01
-77,-75,-97,-93,-83,-88,-98,-88,-94,-83,-91,-96,0,0,K-01
-80,-86,-75,-80,-93,-90,-87,-86,-88,-88,-97,-100,0,0,K-01
-82,-95,-88,-80,-81,-81,-84,-92,-89,-86,-90,-99,0,0,K-01
-78,-89,-75,-87,-86,-85,-97,-78,-90,-90,-94,-100,0,0,K-01
-77,-79,-73,-87,-88,-87,-85,-82,-93,-80,-95,-100,0,0,K-01
-76,-77,-84,-93,-88,-79,-89,-83,-98,-88,-96,-97,0,0,K-01
-80,-79,-73,-83,-95,-88,-86,-85,-89,-88,-95,-100,0,0,K-01
-76,-76,-87,-95,-93,-79,-96,-83,-97,-88,-95,-100,0,0,K-01
-74,-78,-82,-88,-81,-83,-85,-82,-95,-89,-98,-96,0,0,K-01
-71,-90,-83,-85,-92,-84,-89,-81,-92,-89,-90,-97,0,0,K-01
-70,-75,-87,-91,-87,-84,-97,-85,-98,-94,-93,-98,0,0,K-01
-73,-87,-84,-93,-90,-87,-91,-79,-93,-88,-91,-99,0,0,K-01
-71,-76,-84,-92,-90,-86,-95,-87,-92,-89,-89,-99,0,0,K-01
-76,-83,-77,-79,-83,-89,-87,-79,-86,-90,-97,-100,0,0,K-01
-81,-82,-81,-83,-89,-88,-88,-91,-92,-90,-94,-97,0,0,K-01
-78,-84,-82,-82,-91,-84,-100,-84,-95,-86,-92,-98,0,0,K-01
-80,-81,-72,-87,-83,-86,-87,-77,-87,-88,-97,-99,0,0,K-01
-74,-78,-84,-92,-86,-83,-93,-84,-97,-88,-96,-99,0,0,K-01
-75,-78,-92,-91,-84,-88,-89,-86,-90,-89,-93,-99,0,0,K-01
-91,-83,-86,-86,-81,-83,-89,-93,-90,-86,-98,-99,0,0,K-01
-76,-82,-79,-85,-85,-96,-96,-83,-91,-86,-99,-97,0,0,K-01
-76,-84,-83,-91,-89,-96,-95,-83,-97,-85,-98,-98,0,0,K-01
-81,-83,-80,-83,-90,-89,-82,-87,-93,-90,-92,-97,0,0,K-01
-78,-87,-83,-93,-88,-95,-89,-78,-89,-86,-92,-99,0,0,K-01
-76,-78,-84,-93,-83,-88,-91,-88,-93,-88,-91,-98,0,0,K-01
-95,-85,-73,-86,-82,-82,-88,-80,-94,-85,-90,-98,0,0,K-01
-84,-86,-81,-88,-83,-82,-95,-85,-97,-86,-96,-98,0,0,K-01
-73,-88,-84,-91,-91,-88,-90,-79,-91,-89,-89,-100,0,0,K-01
-81,-82,-81,-81,-86,-88,-87,-87,-95,-91,-98,-95,0,0,K-01
-73,-89,-84,-88,-89,-89,-89,-80,-96,-83,-90,-97,0,0,K-01
-78,-85,-76,-93,-87,-95,-89,-78,-92,-89,-95,-96,0,0,K-01
-76,-77,-84,-91,-92,-86,-86,-84,-99,-94,-96,-99,0,0,K-01
-76,-77,-83,-90,-86,-88,-90,-79,-94,-83,-91,-98,0,0,K-01
-86,-85,-84,-93,-88,-91,-88,-77,-90,-84,-97,-100,0,0,K-01
-78,-85,-79,-91,-86,-88,-100,-83,-97,-87,-91,-98,0,0,K-01
-73,-77,-83,-88,-81,-83,-90,-80,-94,-87,-99,-100,0,0,K-01
-76,-76,-83,-93,-83,-88,-90,-80,-92,-89,-93,-97,0,0,K-01
-75,-83,-84,-91,-93,-96,-96,-84,-92,-85,-99,-98,0,0,K-01
-71,-87,-83,-84,-83,-85,-90,-81,-100,-100,-99,-96,0,0,K-01
-76,-80,-81,-92,-83,-89,-91,-80,-94,-88,-92,-98,0,0,K-01
-76,-81,-76,-85,-86,-84,-86,-83,-87,-90,-96,-96,0,0,K-01
-82,-83,-78,-84,-89,-88,-83,-80,-95,-91,-92,-97,0,0,K-01
-89,-85,-73,-86,-82,-82,-90,-97,-93,-94,-90,-98,0,0,K-01
-83,-83,-82,-83,-92,-84,-99,-85,-94,-87,-91,-98,0,0,K-01
-74,-83,-74,-83,-88,-88,-83,-77,-87,-91,-96,-97,0,0,K-01
-74,-87,-84,-87,-88,-87,-89,-78,-94,-88,-92,-100,0,0,K-01
-81,-83,-83,-90,-86,-95,-95,-95,-92,-85,-100,-97,0,0,K-01
-76,-75,-81,-91,-90,-87,-89,-86,-95,-85,-92,-100,0,0,K-01
-72,-77,-84,-94,-85,-83,-99,-83,-99,-91,-100,-99,0,0,K-01
-76,-76,-87,-97,-91,-79,-96,-83,-97,-88,-95,-96,0,0,K-01
-75,-76,-90,-98,-91,-82,-91,-83,-97,-95,-98,-98,0,0,K-01
-73,-77,-84,-93,-90,-82,-97,-82,-95,-92,-96,-100,0,0,K-01
-72,-75,-100,-92,-85,-83,-99,-81,-99,-94,-97,-96,0,0,K-01
-79,-84,-71,-79,-84,-93,-83,-78,-87,-87,-98,-97,0,0,K-01
-76,-75,-94,-89,-83,-86,-100,-88,-90,-83,-93,-97,0,0,K-01
-83,-82,-82,-84,-95,-95,-100,-97,-97,-86,-96,-98,0,0,K-01
-77,-79,-73,-87,-88,-87,-85,-82,-88,-80,-95,-100,0,0,K-01
-84,-85,-76,-96,-89,-95,-87,-78,-90,-88,-93,-100,0,0,K-01
-73,-87,-85,-84,-80,-86,-85,-82,-93,-100,-96,-94,0,0,K-01
-78,-82,-83,-87,-85,-85,-87,-81,-90,-91,-93,-100,0,0,K-01
-73,-86,-85,-86,-81,-86,-91,-81,-97,-88,-95,-93,0,0,K-01
-76,-77,-88,-99,-90,-81,-88,-83,-99,-91,-100,-97,0,0,K-01
-78,-85,-76,-87,-87,-85,-89,-78,-92,-89,-98,-96,0,0,K-01
-76,-77,-83,-90,-86,-88,-90,-79,-94,-90,-91,-98,0,0,K-01
-82,-77,-74,-81,-81,-87,-85,-93,-90,-80,-96,-100,0,0,K-01
-70,-76,-81,-95,-85,-87,-96,-86,-94,-89,-94,-100,0,0,K-01
-91,-94,-86,-86,-81,-83,-84,-93,-93,-86,-93,-99,0,0,K-01
-80,-79,-74,-81,-89,-85,-99,-82,-90,-84,-98,-99,0,0,K-01
-78,-85,-76,-93,-87,-95,-89,-78,-92,-89,-95,-96,0,0,K-01
-71,-90,-84,-85,-89,-84,-90,-79,-95,-89,-92,-99,0,0,K-01
-76,-77,-73,-80,-83,-85,-89,-82,-90,-81,-96,-93,0,0,K-01
-71,-76,-82,-87,-82,-84,-90,-81,-100,-96,-98,-100,0,0,K-01
