rssi,distance
-62,1
-78,1
-78,1
-67,1
-62,1
-77,1
-66,1
-66,1
-62,1
-76,1
-66,1
-63,1
-62,1
-77,1
-66,1
-63,1
-60,1
-77,1
-69,1
-66,1
-73,1
-69,1
-69,1
-65,1
-73,1
-69,1
-65,1
-74,1
-73,1
-68,1
-65,1
-75,1
-65,1
-73,1
-67,1
-64,1
-75,1
-75,1
-68,1
-66,1
-73,1
-75,1
-67,1
-69,1
-75,1
-68,1
-66,1
-66,1
-74,1
-69,1
-66,1
-67,1
-76,1
-68,1
-67,1
-65,1
-78,1
-68,1
-68,1
-78,1
-68,1
-68,1
-73,1
-72,1
-69,1
-69,1
-73,1
-69,1
-66,1
-66,1
-72,1
-69,1
-67,1
-72,1
-72,1
-69,1
-72,1
-67,1
-66,1
-67,1
-73,1
-67,1
-68,1
-74,1
-75,1
-68,1
-67,1
-73,1
-77,1
-67,1
-67,1
-74,1
-72,1
-68,1
-68,1
-73,1
-69,1
-64,1
-77,1
-76,1
-70,1
-70,1
-74,1
-74,1
-69,1
-66,1
-73,1
-70,1
-70,1
-65,1
-73,1
-70,1
-65,1
-66,1
-72,1
-66,1
-66,1
-66,1
-72,1
-70,1
-65,1
-66,1
-73,1
-70,1
-69,1
-73,1
-72,1
-70,1
-66,1
-73,1
-69,1
-66,1
-66,1
-72,1
-70,1
-66,1
-66,1
-73,1
-69,1
-66,1
-76,1
-79,1
-67,1
-68,1
-79,1
-78,1
-68,1
-67,1
-79,1
-68,1
-68,1
-79,1
-79,1
-67,1
-68,1
-77,1
-77,1
-67,1
-66,1
-71,1
-69,1
-69,1
-65,1
-82,1
-70,1
-59,1
-67,1
-73,1
-72,1
-66,1
-74,1
-71,1
-66,1
-64,1
-71,1
-72,1
-64,1
-64,1
-72,1
-69,1
-65,1
-73,1
-68,1
-71,1
-71,1
-71,1
-72,1
-62,1
-72,1
-77,1
-65,1
-77,1
-73,1
-63,1
-63,1
-70,1
-72,1
-62,1
-71,1
-72,1
-73,2
-92,2
-76,2
-77,2
-76,2
-77,2
-75,2
-71,2
-78,2
-79,2
-71,2
-71,2
-78,2
-72,2
-73,2
-81,2
-73,2
-77,2
-73,2
-70,2
-72,2
-72,2
-79,2
-98,2
-73,2
-72,2
-72,2
-79,2
-72,2
-72,2
-79,2
-72,2
-71,2
-79,2
-78,2
-72,2
-72,2
-78,2
-78,2
-78,2
-72,2
-71,2
-79,2
-72,2
-72,2
-79,2
-73,2
-72,2
-71,2
-79,2
-72,2
-72,2
-79,2
-79,2
-72,2
-71,2
-79,2
-72,2
-72,2
-72,2
-79,2
-72,2
-72,2
-72,2
-79,2
-72,2
-72,2
-79,2
-79,2
-72,2
-72,2
-79,2
-72,2
-73,2
-78,2
-73,2
-72,2
-79,2
-79,2
-73,2
-72,2
-78,2
-72,2
-72,2
-72,2
-80,2
-72,2
-72,2
-79,2
-80,2
-73,2
-72,2
-78,2
-78,2
-73,2
-72,2
-79,2
-72,2
-72,2
-72,2
-79,2
-72,2
-72,2
-79,2
-78,2
-72,2
-72,2
-79,2
-72,2
-72,2
-72,2
-79,2
-72,2
-72,2
-72,2
-79,2
-72,2
-72,2
-72,2
-79,2
-73,2
-72,2
-79,2
-79,2
-73,2
-72,2
-79,2
-79,2
-73,2
-72,2
-79,2
-73,2
-72,2
-79,2
-80,2
-73,2
-72,2
-79,2
-79,2
-72,2
-72,2
-79,2
-68,2
-72,2
-72,2
-79,2
-72,2
-72,2
-79,2
-78,2
-73,2
-72,2
-79,2
-72,2
-73,2
