rmse,method,label
7.211102551,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
1.414213562,traditional,K-01
2.828427125,traditional,K-01
1,traditional,K-01
0,traditional,K-01
0,traditional,K-01
2,traditional,K-01
0,traditional,K-01
2.828427125,traditional,K-01
0,traditional,K-01
0,traditional,K-01
3.16227766,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
1.414213562,traditional,K-01
1.414213562,traditional,K-01
0,traditional,K-01
1,traditional,K-01
1,traditional,K-01
0,traditional,K-01
0,traditional,K-01
2.828427125,traditional,K-01
0,traditional,K-01
1,traditional,K-01
1,traditional,K-01
0,traditional,K-01
0,traditional,K-01
1.414213562,traditional,K-01
0,traditional,K-01
0,traditional,K-01
1,traditional,K-01
0,traditional,K-01
1,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
1,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
2.828427125,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
2.828427125,traditional,K-01
1,traditional,K-01
0,traditional,K-01
1.414213562,traditional,K-01
0,traditional,K-01
0,traditional,K-01
3,traditional,K-01
4,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
1,traditional,K-01
1,traditional,K-01
0,traditional,K-01
0,traditional,K-01
1.414213562,traditional,K-01
1,traditional,K-01
0,traditional,K-01
0,traditional,K-01
1.414213562,traditional,K-01
1.414213562,traditional,K-01
3.16227766,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
1,traditional,K-01
0,traditional,K-01
0,traditional,K-01
1,traditional,K-01
0,traditional,K-01
1,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
1.414213562,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
1.414213562,traditional,K-01
0,traditional,K-01
0,traditional,K-01
1.414213562,traditional,K-01
1.414213562,traditional,K-01
0,traditional,K-01
0,traditional,K-01
1,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
7.211102551,traditional,K-01
1,traditional,K-01
0,traditional,K-01
4,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
2.828427125,traditional,K-01
0,traditional,K-01
0,traditional,K-01
1,traditional,K-01
1,traditional,K-01
0,traditional,K-01
0,traditional,K-01
1.414213562,traditional,K-01
1,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
1,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
1,traditional,K-01
0,traditional,K-01
1.414213562,traditional,K-01
0,traditional,K-01
1,traditional,K-01
1.414213562,traditional,K-01
0,traditional,K-01
0,traditional,K-01
1,traditional,K-01
0,traditional,K-01
3.16227766,traditional,K-01
0,traditional,K-01
0,traditional,K-01
8.246211251,traditional,K-01
1.414213562,traditional,K-01
1,traditional,K-01
0,traditional,K-01
1.414213562,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
1.414213562,traditional,K-01
1,traditional,K-01
1,traditional,K-01
8.246211251,traditional,K-01
1.414213562,traditional,K-01
1,traditional,K-01
2.828427125,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
4,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
1.414213562,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
1.414213562,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
2.828427125,traditional,K-01
1,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
1,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
0,traditional,K-01
1,traditional,K-01
