rsme,method,label
2.8284271247461903,traditional,K-01
1.4142135623730951,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
2.8284271247461903,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
4.0,traditional,K-01
2.8284271247461903,traditional,K-01
0.0,traditional,K-01
4.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
1.4142135623730951,traditional,K-01
0.0,traditional,K-01
1.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
1.0,traditional,K-01
0.0,traditional,K-01
2.23606797749979,traditional,K-01
1.0,traditional,K-01
0.0,traditional,K-01
2.8284271247461903,traditional,K-01
0.0,traditional,K-01
2.8284271247461903,traditional,K-01
2.8284271247461903,traditional,K-01
1.4142135623730951,traditional,K-01
2.23606797749979,traditional,K-01
0.0,traditional,K-01
3.1622776601683795,traditional,K-01
4.0,traditional,K-01
8.246211251235321,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
1.0,traditional,K-01
0.0,traditional,K-01
1.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
2.8284271247461903,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
4.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
1.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
7.211102550927978,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
1.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
3.1622776601683795,traditional,K-01
0.0,traditional,K-01
1.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
3.1622776601683795,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
1.0,traditional,K-01
1.0,traditional,K-01
0.0,traditional,K-01
1.0,traditional,K-01
0.0,traditional,K-01
1.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
1.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
1.0,traditional,K-01
1.0,traditional,K-01
1.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
2.8284271247461903,traditional,K-01
2.8284271247461903,traditional,K-01
2.23606797749979,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
1.0,traditional,K-01
0.0,traditional,K-01
1.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
1.0,traditional,K-01
7.211102550927978,traditional,K-01
1.0,traditional,K-01
0.0,traditional,K-01
1.0,traditional,K-01
1.0,traditional,K-01
2.8284271247461903,traditional,K-01
1.4142135623730951,traditional,K-01
1.4142135623730951,traditional,K-01
4.0,traditional,K-01
0.0,traditional,K-01
1.0,traditional,K-01
0.0,traditional,K-01
1.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
1.4142135623730951,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
2.8284271247461903,traditional,K-01
0.0,traditional,K-01
3.605551275463989,traditional,K-01
0.0,traditional,K-01
2.23606797749979,traditional,K-01
3.0,traditional,K-01
2.8284271247461903,traditional,K-01
2.8284271247461903,traditional,K-01
7.211102550927978,traditional,K-01
1.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
2.8284271247461903,traditional,K-01
0.0,traditional,K-01
2.23606797749979,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
1.0,traditional,K-01
1.4142135623730951,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
8.246211251235321,traditional,K-01
2.23606797749979,traditional,K-01
0.0,traditional,K-01
2.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
1.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
4.0,traditional,K-01
1.0,traditional,K-01
1.0,traditional,K-01
4.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
1.4142135623730951,traditional,K-01
0.0,traditional,K-01
1.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
1.0,traditional,K-01
2.8284271247461903,traditional,K-01
8.246211251235321,traditional,K-01
0.0,traditional,K-01
2.8284271247461903,traditional,K-01
0.0,traditional,K-01
1.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
1.0,traditional,K-01
1.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
1.0,traditional,K-01
1.0,traditional,K-01
0.0,traditional,K-01
2.8284271247461903,traditional,K-01
0.0,traditional,K-01
2.23606797749979,traditional,K-01
1.4142135623730951,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
0.0,traditional,K-01
