rssi0,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,rssi9,rssi10,rssi11,x,y,label
-84,-78,-79,-88,-68,-70,-73,-84,-87,-73,-84,-100,3,5,L-01
-69,-84,-80,-74,-85,-76,-93,-83,-94,-91,-92,-89,2,0,K-03
-77,-66,-76,-87,-91,-81,-84,-71,-90,-96,-98,-97,3,0,K-04
-84,-73,-84,-91,-88,-78,-80,-76,-87,-89,-92,-97,3,2,K-10
-91,-67,-73,-92,-82,-56,-72,-86,-94,-75,-80,-96,3,4,H-04
-77,-74,-78,-90,-85,-95,-81,-76,-86,-93,-93,-98,2,2,K-09
-85,-70,-88,-78,-87,-70,-76,-90,-84,-81,-96,-103,2,6,L-06
-99,-83,-79,-94,-89,-89,-75,-84,-62,-52,-70,-74,8,4,H-09
-73,-79,-83,-79,-77,-86,-93,-78,-86,-86,-91,-98,1,2,K-08
-86,-76,-72,-86,-86,-72,-60,-77,-83,-81,-88,-86,5,4,H-06
-89,-73,-84,-85,-79,-72,-65,-87,-74,-69,-83,-95,4,4,H-05
-86,-67,-73,-94,-82,-57,-73,-86,-75,-74,-94,-92,3,4,H-04
-91,-83,-85,-98,-90,-91,-82,-90,-77,-68,-64,-74,11,4,H-12
-80,-79,-82,-80,-63,-70,-90,-89,-82,-92,-78,-98,3,7,L-05
-66,-81,-70,-72,-79,-64,-87,-83,-91,-95,-90,-100,2,3,K-13
-93,-74,-71,-70,-75,-86,-80,-87,-84,-87,-88,-102,1,7,L-07
-88,-76,-70,-91,-85,-79,-62,-75,-64,-61,-71,-85,7,4,H-08
-88,-85,-89,-92,-89,-84,-83,-86,-82,-66,-73,-68,10,4,H-11
-92,-74,-78,-85,-68,-68,-88,-85,-85,-77,-79,-86,3,5,L-01
-85,-65,-72,-87,-75,-69,-77,-80,-83,-83,-87,-89,4,5,L-02
-87,-83,-80,-91,-98,-89,-74,-81,-60,-57,-73,-77,8,4,H-09
-91,-83,-85,-97,-99,-80,-66,-75,-63,-45,-69,-79,9,4,H-10
-95,-81,-78,-98,-89,-86,-76,-88,-61,-48,-66,-76,9,4,H-10
-71,-73,-80,-83,-86,-81,-86,-71,-88,-82,-93,-96,3,1,K-07
-65,-83,-77,-85,-91,-88,-87,-76,-83,-85,-95,-98,1,1,K-05
