rssi0,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,rssi9,rssi10,rssi11,x,y,label
-91,-85,-70,-79,-92,-87,-86,-82,-90,-91,-95,-96,0,0,K-01
-91,-85,-70,-79,-92,-87,-86,-82,-91,-91,-95,-96,0,0,K-01
-78,-85,-70,-79,-92,-87,-86,-82,-91,-91,-95,-96,0,0,K-01
-78,-85,-70,-79,-92,-87,-86,-82,-91,-91,-95,-96,0,0,K-01
-78,-85,-70,-79,-92,-87,-86,-82,-91,-91,-95,-96,0,0,K-01
-78,-85,-70,-79,-92,-87,-86,-82,-91,-89,-95,-96,0,0,K-01
-78,-86,-70,-79,-92,-87,-86,-82,-91,-89,-95,-96,0,0,K-01
-78,-86,-70,-79,-92,-86,-86,-82,-91,-89,-95,-96,0,0,K-01
-78,-86,-74,-79,-92,-86,-86,-82,-91,-89,-95,-96,0,0,K-01
-78,-86,-74,-79,-92,-86,-86,-82,-91,-89,-95,-96,0,0,K-01
-78,-86,-74,-79,-92,-86,-85,-82,-91,-89,-95,-96,0,0,K-01
-78,-86,-74,-79,-92,-86,-85,-82,-91,-89,-95,-96,0,0,K-01
-78,-86,-74,-81,-92,-86,-85,-82,-91,-89,-95,-96,0,0,K-01
-78,-86,-74,-81,-92,-86,-85,-82,-91,-89,-95,-96,0,0,K-01
-78,-86,-74,-81,-92,-86,-85,-82,-91,-89,-95,-96,0,0,K-01
-78,-80,-74,-81,-92,-86,-85,-82,-91,-89,-95,-96,0,0,K-01
-78,-80,-74,-81,-92,-86,-85,-83,-91,-89,-95,-96,0,0,K-01
-78,-80,-74,-81,-92,-86,-85,-83,-91,-84,-95,-96,0,0,K-01
-78,-80,-71,-81,-92,-86,-85,-83,-91,-84,-95,-96,0,0,K-01
-78,-80,-71,-81,-92,-85,-85,-83,-91,-84,-95,-96,0,0,K-01
-78,-80,-71,-81,-91,-85,-85,-83,-91,-84,-95,-96,0,0,K-01
-78,-80,-71,-81,-91,-85,-85,-83,-91,-84,-93,-96,0,0,K-01
-78,-80,-71,-82,-91,-85,-85,-83,-91,-84,-93,-96,0,0,K-01
-78,-80,-71,-82,-91,-85,-87,-83,-91,-84,-93,-96,0,0,K-01
-80,-80,-71,-82,-91,-85,-87,-83,-91,-84,-93,-96,0,0,K-01
-80,-80,-71,-82,-91,-85,-87,-83,-89,-84,-93,-96,0,0,K-01
-80,-81,-71,-82,-91,-85,-87,-83,-89,-84,-93,-96,0,0,K-01
-80,-81,-71,-82,-91,-85,-87,-83,-89,-84,-93,-96,0,0,K-01
-80,-81,-71,-82,-91,-85,-87,-84,-89,-84,-93,-96,0,0,K-01
-80,-81,-71,-82,-91,-85,-87,-84,-89,-91,-93,-96,0,0,K-01
-80,-81,-71,-82,-91,-85,-86,-84,-89,-91,-93,-96,0,0,K-01
-80,-81,-71,-82,-93,-85,-86,-84,-89,-91,-93,-96,0,0,K-01
-80,-81,-70,-82,-93,-85,-86,-84,-89,-91,-93,-96,0,0,K-01
-80,-81,-70,-98,-93,-85,-86,-84,-89,-91,-93,-96,0,0,K-01
-80,-81,-70,-79,-93,-85,-86,-84,-89,-91,-93,-96,0,0,K-01
-80,-81,-70,-79,-93,-85,-86,-84,-89,-91,-95,-96,0,0,K-01
-80,-81,-70,-79,-93,-85,-86,-84,-91,-91,-95,-96,0,0,K-01
-80,-81,-70,-79,-93,-85,-86,-82,-91,-91,-95,-96,0,0,K-01
-80,-81,-70,-79,-93,-85,-86,-82,-91,-92,-95,-96,0,0,K-01
-90,-81,-70,-79,-93,-85,-86,-82,-91,-92,-95,-96,0,0,K-01
-90,-81,-70,-79,-93,-85,-86,-82,-91,-92,-95,-96,0,0,K-01
-90,-86,-70,-79,-93,-85,-86,-82,-91,-92,-95,-96,0,0,K-01
-90,-86,-70,-79,-93,-90,-86,-82,-91,-92,-95,-96,0,0,K-01
-90,-86,-70,-79,-93,-90,-86,-82,-89,-92,-95,-96,0,0,K-01
-90,-86,-70,-78,-93,-90,-86,-82,-89,-92,-95,-96,0,0,K-01
-90,-86,-70,-78,-91,-90,-86,-82,-89,-92,-95,-96,0,0,K-01
-90,-86,-70,-78,-91,-90,-85,-82,-89,-92,-95,-96,0,0,K-01
-90,-86,-70,-78,-91,-90,-85,-82,-89,-92,-97,-96,0,0,K-01
-82,-86,-70,-78,-91,-90,-85,-82,-89,-92,-97,-96,0,0,K-01
-82,-86,-70,-78,-91,-90,-85,-82,-96,-92,-97,-96,0,0,K-01
-82,-86,-70,-78,-91,-90,-85,-86,-96,-92,-97,-96,0,0,K-01
-82,-86,-70,-78,-91,-90,-85,-86,-96,-92,-97,-96,0,0,K-01
-82,-86,-70,-78,-91,-90,-85,-86,-96,-85,-97,-96,0,0,K-01
-82,-86,-74,-78,-91,-90,-85,-86,-96,-85,-97,-96,0,0,K-01
-82,-86,-74,-78,-91,-86,-85,-86,-96,-85,-97,-96,0,0,K-01
-82,-86,-74,-78,-91,-86,-85,-86,-96,-85,-97,-96,0,0,K-01
-82,-86,-74,-78,-91,-86,-85,-86,-96,-85,-93,-96,0,0,K-01
-82,-86,-74,-78,-97,-86,-85,-86,-96,-85,-93,-96,0,0,K-01
-82,-86,-74,-78,-97,-86,-85,-86,-89,-85,-93,-96,0,0,K-01
-82,-86,-74,-86,-97,-86,-85,-86,-89,-85,-93,-96,0,0,K-01
-82,-86,-74,-86,-97,-86,-85,-86,-89,-85,-93,-96,0,0,K-01
-82,-86,-74,-86,-97,-86,-85,-86,-89,-86,-93,-96,0,0,K-01
-82,-79,-74,-86,-97,-86,-85,-86,-89,-86,-93,-96,0,0,K-01
-82,-79,-74,-86,-97,-86,-85,-87,-89,-86,-93,-96,0,0,K-01
-82,-79,-72,-86,-97,-86,-85,-87,-89,-86,-93,-96,0,0,K-01
-82,-79,-72,-86,-97,-85,-85,-87,-89,-86,-93,-96,0,0,K-01
-82,-79,-72,-86,-89,-85,-85,-87,-89,-86,-93,-96,0,0,K-01
-82,-79,-72,-82,-89,-85,-85,-87,-89,-86,-93,-96,0,0,K-01
-82,-79,-72,-82,-89,-85,-86,-87,-89,-86,-93,-96,0,0,K-01
-82,-79,-72,-82,-89,-85,-86,-87,-91,-86,-93,-96,0,0,K-01
-82,-79,-72,-82,-89,-85,-86,-87,-91,-86,-93,-96,0,0,K-01
-82,-79,-72,-82,-89,-85,-86,-87,-91,-86,-100,-96,0,0,K-01
-82,-79,-72,-82,-89,-85,-86,-80,-91,-86,-100,-96,0,0,K-01
-82,-79,-72,-82,-89,-85,-86,-80,-91,-84,-100,-96,0,0,K-01
-82,-79,-70,-82,-89,-85,-86,-80,-91,-84,-100,-96,0,0,K-01
-82,-79,-70,-82,-89,-85,-86,-80,-91,-84,-100,-96,0,0,K-01
-82,-79,-70,-82,-89,-86,-86,-80,-91,-84,-100,-96,0,0,K-01
-82,-79,-70,-82,-89,-86,-87,-80,-91,-84,-100,-96,0,0,K-01
-82,-79,-70,-82,-89,-86,-87,-80,-91,-84,-100,-96,0,0,K-01
-82,-79,-70,-79,-89,-86,-87,-80,-91,-84,-100,-96,0,0,K-01
-82,-79,-70,-79,-89,-86,-87,-80,-90,-84,-100,-96,0,0,K-01
-94,-79,-70,-79,-89,-86,-87,-80,-90,-84,-100,-96,0,0,K-01
-94,-79,-70,-79,-89,-86,-87,-80,-90,-84,-100,-96,0,0,K-01
-94,-79,-73,-79,-89,-86,-87,-80,-90,-84,-100,-96,0,0,K-01
-94,-86,-73,-79,-89,-86,-87,-80,-90,-84,-100,-96,0,0,K-01
-94,-86,-73,-79,-89,-86,-85,-80,-90,-84,-100,-96,0,0,K-01
-94,-86,-73,-81,-89,-86,-85,-80,-90,-84,-100,-96,0,0,K-01
-94,-86,-73,-81,-89,-92,-85,-80,-90,-84,-100,-96,0,0,K-01
-94,-86,-73,-81,-89,-92,-85,-80,-90,-84,-96,-96,0,0,K-01
-94,-86,-73,-81,-89,-92,-85,-80,-90,-84,-96,-96,0,0,K-01
-94,-86,-73,-81,-89,-92,-85,-80,-88,-84,-96,-96,0,0,K-01
-80,-86,-73,-81,-89,-92,-85,-80,-88,-84,-96,-96,0,0,K-01
-80,-86,-73,-81,-89,-92,-85,-80,-100,-84,-96,-96,0,0,K-01
-80,-86,-73,-81,-89,-92,-85,-83,-100,-84,-96,-96,0,0,K-01
-80,-86,-73,-81,-89,-92,-85,-83,-100,-88,-96,-96,0,0,K-01
-80,-85,-73,-81,-89,-92,-85,-83,-100,-88,-96,-96,0,0,K-01
-80,-85,-73,-81,-89,-86,-85,-83,-100,-88,-96,-96,0,0,K-01
-80,-85,-73,-81,-89,-86,-85,-83,-100,-88,-96,-96,0,0,K-01
-80,-85,-73,-81,-89,-86,-85,-83,-100,-88,-96,-100,0,0,K-01
-80,-85,-73,-81,-89,-86,-85,-83,-100,-88,-96,-100,0,0,K-01
-80,-85,-73,-83,-89,-86,-85,-83,-100,-88,-96,-100,0,0,K-01
-80,-85,-73,-83,-89,-86,-85,-83,-100,-88,-95,-100,0,0,K-01
-80,-85,-73,-83,-90,-86,-85,-83,-100,-88,-95,-100,0,0,K-01
-81,-85,-73,-83,-90,-86,-85,-83,-100,-88,-95,-100,0,0,K-01
-81,-85,-73,-83,-90,-86,-85,-83,-101,-88,-95,-100,0,0,K-01
-81,-85,-73,-83,-90,-86,-85,-83,-101,-85,-95,-100,0,0,K-01
-81,-79,-73,-83,-90,-86,-85,-83,-101,-85,-95,-100,0,0,K-01
-81,-79,-73,-83,-90,-86,-85,-81,-101,-85,-95,-100,0,0,K-01
-81,-79,-73,-83,-90,-86,-85,-81,-101,-85,-95,-100,0,0,K-01
-81,-79,-73,-83,-90,-87,-85,-81,-101,-85,-95,-100,0,0,K-01
-81,-79,-73,-83,-90,-87,-85,-81,-90,-85,-95,-100,0,0,K-01
-81,-79,-73,-83,-90,-87,-87,-81,-90,-85,-95,-100,0,0,K-01
-82,-79,-73,-83,-90,-87,-87,-81,-90,-85,-95,-100,0,0,K-01
-82,-79,-73,-80,-90,-87,-87,-81,-90,-85,-95,-100,0,0,K-01
-82,-79,-73,-80,-90,-87,-87,-81,-90,-85,-95,-100,0,0,K-01
-82,-81,-73,-80,-90,-87,-87,-81,-90,-85,-95,-100,0,0,K-01
-82,-81,-73,-80,-90,-88,-87,-81,-90,-85,-95,-100,0,0,K-01
-82,-81,-73,-80,-90,-88,-87,-81,-90,-85,-95,-100,0,0,K-01
-82,-81,-73,-80,-90,-88,-87,-81,-90,-85,-95,-100,0,0,K-01
-82,-81,-73,-80,-90,-88,-87,-81,-90,-90,-95,-100,0,0,K-01
-82,-81,-74,-80,-90,-88,-87,-81,-90,-90,-95,-100,0,0,K-01
-82,-81,-74,-80,-90,-88,-87,-81,-90,-90,-97,-100,0,0,K-01
-82,-81,-74,-80,-90,-88,-87,-81,-91,-90,-97,-100,0,0,K-01
-82,-81,-74,-80,-93,-88,-87,-81,-91,-90,-97,-100,0,0,K-01
-80,-81,-74,-80,-93,-88,-87,-81,-91,-90,-97,-100,0,0,K-01
-80,-81,-74,-80,-93,-88,-87,-81,-91,-88,-97,-100,0,0,K-01
-80,-86,-74,-80,-93,-88,-87,-81,-91,-88,-97,-100,0,0,K-01
-80,-86,-75,-80,-93,-88,-87,-81,-91,-88,-97,-100,0,0,K-01
-80,-86,-75,-80,-93,-90,-87,-81,-91,-88,-97,-100,0,0,K-01
-80,-86,-75,-80,-93,-90,-87,-86,-91,-88,-97,-100,0,0,K-01
-80,-86,-75,-80,-93,-90,-87,-86,-88,-88,-97,-100,0,0,K-01
-80,-86,-75,-80,-93,-90,-86,-86,-88,-88,-97,-100,0,0,K-01
-80,-86,-75,-84,-93,-90,-86,-86,-88,-88,-97,-100,0,0,K-01
-80,-86,-75,-84,-93,-90,-86,-86,-88,-88,-98,-100,0,0,K-01
-81,-86,-75,-84,-93,-90,-86,-86,-88,-88,-98,-100,0,0,K-01
-81,-86,-75,-84,-94,-90,-86,-86,-88,-88,-98,-100,0,0,K-01
-81,-86,-75,-84,-94,-90,-86,-84,-88,-88,-98,-100,0,0,K-01
-81,-86,-75,-84,-94,-90,-86,-84,-88,-84,-98,-100,0,0,K-01
-81,-79,-75,-84,-94,-90,-86,-84,-88,-84,-98,-100,0,0,K-01
-81,-79,-75,-84,-94,-86,-86,-84,-88,-84,-98,-100,0,0,K-01
-81,-79,-73,-84,-94,-86,-86,-84,-88,-84,-98,-100,0,0,K-01
-81,-79,-73,-84,-94,-86,-86,-84,-88,-84,-98,-102,0,0,K-01
-81,-79,-73,-84,-94,-86,-86,-84,-88,-84,-98,-102,0,0,K-01
-81,-79,-73,-84,-94,-86,-86,-84,-88,-84,-94,-102,0,0,K-01
-81,-79,-73,-84,-92,-86,-86,-84,-88,-84,-94,-102,0,0,K-01
-80,-79,-73,-84,-92,-86,-86,-84,-88,-84,-94,-102,0,0,K-01
-80,-79,-73,-84,-92,-86,-86,-84,-100,-84,-94,-102,0,0,K-01
-80,-79,-73,-84,-92,-86,-86,-84,-100,-84,-94,-102,0,0,K-01
-80,-79,-73,-84,-92,-86,-86,-79,-100,-84,-94,-102,0,0,K-01
-80,-79,-73,-84,-92,-86,-86,-79,-100,-84,-94,-102,0,0,K-01
-80,-79,-73,-84,-92,-86,-86,-79,-100,-84,-94,-102,0,0,K-01
-80,-77,-73,-84,-92,-86,-86,-79,-100,-84,-94,-102,0,0,K-01
-80,-77,-73,-84,-92,-86,-86,-79,-90,-84,-94,-102,0,0,K-01
-80,-77,-73,-84,-92,-86,-87,-79,-90,-84,-94,-102,0,0,K-01
-80,-77,-73,-84,-92,-86,-87,-79,-90,-84,-94,-102,0,0,K-01
-80,-77,-73,-84,-92,-89,-87,-79,-90,-84,-94,-102,0,0,K-01
-80,-77,-73,-84,-92,-89,-87,-79,-90,-84,-94,-102,0,0,K-01
-80,-77,-73,-84,-92,-89,-87,-79,-90,-92,-94,-102,0,0,K-01
-93,-77,-73,-84,-92,-89,-87,-79,-90,-92,-94,-102,0,0,K-01
-93,-77,-73,-84,-92,-89,-87,-82,-90,-92,-94,-102,0,0,K-01
-93,-77,-70,-84,-92,-89,-87,-82,-90,-92,-94,-102,0,0,K-01
-93,-77,-70,-84,-92,-89,-87,-82,-90,-92,-94,-102,0,0,K-01
-93,-77,-70,-84,-92,-89,-87,-82,-90,-92,-94,-102,0,0,K-01
-93,-77,-70,-79,-92,-89,-87,-82,-90,-92,-94,-102,0,0,K-01
-93,-77,-70,-79,-92,-89,-87,-82,-90,-92,-94,-100,0,0,K-01
-93,-77,-70,-79,-92,-89,-87,-82,-90,-92,-96,-100,0,0,K-01
-93,-77,-70,-79,-92,-93,-87,-82,-90,-92,-96,-100,0,0,K-01
-93,-77,-70,-79,-92,-93,-87,-82,-90,-92,-96,-100,0,0,K-01
-93,-77,-70,-79,-92,-93,-86,-82,-90,-92,-96,-100,0,0,K-01
-82,-77,-70,-79,-92,-93,-86,-82,-90,-92,-96,-100,0,0,K-01
-82,-77,-70,-79,-93,-93,-86,-82,-90,-92,-96,-100,0,0,K-01
