rssi0,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,rssi9,rssi10,rssi11,x,y,label
-76,-75,-83,-95,-83,-88,-89,-80,-93,-89,-91,-98,0,0,K-01
-76,-75,-83,-95,-83,-88,-89,-80,-94,-89,-91,-98,0,0,K-01
-76,-90,-83,-95,-83,-88,-89,-80,-94,-89,-91,-98,0,0,K-01
-76,-90,-83,-95,-83,-87,-89,-80,-94,-89,-91,-98,0,0,K-01
-72,-90,-83,-95,-83,-87,-89,-80,-94,-89,-91,-98,0,0,K-01
-72,-90,-83,-95,-90,-87,-89,-80,-94,-89,-91,-98,0,0,K-01
-72,-90,-83,-95,-90,-87,-89,-80,-94,-89,-91,-98,0,0,K-01
-72,-90,-82,-95,-90,-87,-89,-80,-94,-89,-91,-98,0,0,K-01
-72,-90,-82,-95,-90,-87,-89,-80,-94,-89,-91,-98,0,0,K-01
-72,-90,-82,-92,-90,-87,-89,-80,-94,-89,-91,-98,0,0,K-01
-72,-90,-82,-92,-90,-87,-89,-80,-94,-89,-91,-98,0,0,K-01
-72,-90,-82,-92,-90,-87,-89,-80,-94,-89,-91,-98,0,0,K-01
-72,-90,-82,-92,-90,-87,-89,-80,-94,-89,-93,-98,0,0,K-01
-72,-90,-82,-92,-90,-87,-89,-80,-94,-83,-93,-98,0,0,K-01
-72,-91,-82,-92,-90,-87,-89,-80,-94,-83,-93,-98,0,0,K-01
-72,-91,-82,-92,-90,-87,-89,-80,-94,-83,-93,-98,0,0,K-01
-72,-91,-82,-92,-90,-86,-89,-80,-94,-83,-93,-98,0,0,K-01
-72,-91,-82,-92,-91,-86,-89,-80,-94,-83,-93,-98,0,0,K-01
-72,-91,-82,-92,-91,-86,-89,-81,-94,-83,-93,-98,0,0,K-01
-72,-91,-82,-87,-91,-86,-89,-81,-94,-83,-93,-98,0,0,K-01
-72,-75,-82,-87,-91,-86,-89,-81,-94,-83,-93,-98,0,0,K-01
-72,-75,-82,-87,-91,-86,-89,-81,-94,-83,-92,-98,0,0,K-01
-72,-75,-82,-87,-91,-86,-89,-81,-94,-83,-92,-98,0,0,K-01
-72,-75,-82,-87,-91,-86,-96,-81,-94,-83,-92,-98,0,0,K-01
-71,-75,-82,-87,-91,-86,-96,-81,-94,-83,-92,-98,0,0,K-01
-71,-75,-82,-87,-91,-86,-96,-81,-97,-83,-92,-98,0,0,K-01
-71,-75,-82,-87,-84,-86,-96,-81,-97,-83,-92,-98,0,0,K-01
