rssi0,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,rssi9,rssi10,rssi11,x,y,label
-76,-76,-74,-89,-83,-87,-89,-82,-89,-86,-90,-98,0,0,K-01
-76,-79,-74,-89,-83,-87,-89,-82,-89,-86,-90,-98,0,0,K-01
-76,-79,-74,-89,-83,-87,-85,-82,-89,-86,-90,-98,0,0,K-01
-76,-79,-74,-89,-83,-87,-85,-82,-88,-86,-90,-98,0,0,K-01
-76,-79,-74,-89,-89,-87,-85,-82,-88,-86,-90,-98,0,0,K-01
-76,-79,-74,-89,-89,-87,-85,-82,-88,-86,-97,-98,0,0,K-01
-76,-79,-74,-89,-89,-82,-85,-82,-88,-86,-97,-98,0,0,K-01
-76,-79,-74,-89,-89,-82,-85,-93,-88,-86,-97,-98,0,0,K-01
-76,-79,-74,-89,-89,-82,-85,-93,-88,-80,-97,-98,0,0,K-01
-76,-79,-74,-85,-89,-82,-85,-93,-88,-80,-97,-98,0,0,K-01
-76,-79,-73,-85,-89,-82,-85,-93,-88,-80,-97,-98,0,0,K-01
-87,-79,-73,-85,-89,-82,-85,-93,-88,-80,-97,-98,0,0,K-01
-87,-79,-73,-85,-89,-82,-85,-93,-88,-80,-97,-101,0,0,K-01
-87,-80,-73,-85,-89,-82,-85,-93,-88,-80,-97,-101,0,0,K-01
-87,-80,-73,-85,-88,-82,-85,-93,-88,-80,-97,-101,0,0,K-01
-87,-80,-73,-85,-88,-82,-85,-93,-88,-80,-97,-101,0,0,K-01
-87,-80,-73,-85,-88,-82,-85,-93,-90,-80,-97,-101,0,0,K-01
-87,-80,-73,-85,-88,-82,-84,-93,-90,-80,-97,-101,0,0,K-01
-87,-80,-73,-85,-88,-82,-84,-95,-90,-80,-97,-101,0,0,K-01
-87,-80,-73,-85,-88,-82,-84,-95,-90,-80,-93,-101,0,0,K-01
-87,-80,-73,-85,-88,-81,-84,-95,-90,-80,-93,-101,0,0,K-01
-87,-80,-73,-86,-88,-81,-84,-95,-90,-80,-93,-101,0,0,K-01
-87,-80,-90,-86,-88,-81,-84,-95,-90,-80,-93,-101,0,0,K-01
-87,-80,-90,-86,-88,-81,-84,-95,-90,-80,-93,-99,0,0,K-01
-84,-80,-90,-86,-88,-81,-84,-95,-90,-80,-93,-99,0,0,K-01
-84,-80,-90,-86,-83,-81,-84,-95,-90,-80,-93,-99,0,0,K-01
-84,-83,-90,-86,-83,-81,-84,-95,-90,-80,-93,-99,0,0,K-01
-84,-83,-90,-86,-83,-81,-84,-95,-87,-80,-93,-99,0,0,K-01
-84,-83,-90,-80,-83,-81,-84,-95,-87,-80,-93,-99,0,0,K-01
-84,-83,-90,-80,-83,-82,-84,-95,-87,-80,-93,-99,0,0,K-01
-84,-83,-90,-80,-83,-82,-84,-77,-87,-80,-93,-99,0,0,K-01
-84,-83,-90,-80,-83,-82,-84,-77,-87,-80,-90,-99,0,0,K-01
-84,-83,-90,-80,-83,-82,-84,-77,-87,-85,-90,-99,0,0,K-01
-84,-83,-90,-80,-83,-82,-84,-77,-87,-85,-90,-99,0,0,K-01
-84,-83,-73,-80,-83,-82,-84,-77,-87,-85,-90,-99,0,0,K-01
-84,-77,-73,-80,-83,-82,-84,-77,-87,-85,-90,-99,0,0,K-01
-84,-77,-73,-80,-83,-82,-84,-77,-87,-85,-90,-100,0,0,K-01
-84,-77,-73,-80,-83,-82,-84,-77,-91,-85,-90,-100,0,0,K-01
-84,-77,-73,-80,-89,-82,-84,-77,-91,-85,-90,-100,0,0,K-01
-84,-77,-73,-80,-89,-82,-84,-77,-91,-85,-97,-100,0,0,K-01
-84,-77,-73,-80,-89,-82,-84,-83,-91,-85,-97,-100,0,0,K-01
-84,-77,-73,-80,-89,-84,-84,-83,-91,-85,-97,-100,0,0,K-01
-84,-77,-73,-80,-89,-84,-84,-83,-91,-85,-97,-100,0,0,K-01
-84,-77,-74,-80,-89,-84,-84,-83,-91,-85,-97,-100,0,0,K-01
-76,-77,-74,-80,-89,-84,-84,-83,-91,-85,-97,-100,0,0,K-01
-76,-77,-74,-88,-89,-84,-84,-83,-91,-85,-97,-100,0,0,K-01
